조사서번호,화재발생년월일,읍면동,세부주소,대상(도로)명,지역대거리,지번동,지번리,도로명주소,위도,경도
'140411035201603,2014-04-11 2:51,부여읍,'121-6 프린스모텔옥상,프린스모텔(조희출),0,부여읍,관북리,흑천로8번길 32,0,0
'140412124041393,2014-04-12 9:56,부여읍,'241- 그랑프리 모텔,그랑프리모텔(원성순),0,부여읍,구아리,석탑로41번길 14,0,0
'140413202352018,2014-04-13 18:38,은산면,'31- ,임야,0,은산면,홍산리,,0,0
'140414172941642,2014-04-14 14:01,양화면,'143- ,,0,양화면,시음리,,0,0
'140415024619444,2014-04-15 0:24,은산면,'77- ,나무땔감,0,은산면,가곡리,,0,0
'140415153005355,2014-04-15 12:37,세도면,'1141-5 ,백신기-트렉터,6.3,세도면,수고리,,0,0
'140415220158577,2014-04-15 18:45,장암면,'143-2 ,임야,0,장암면,북고리,,0,0
'140417171339193,2014-04-16 15:40,초촌면,'876-10 ,,0,초촌면,산직리,,0,0
'140420020414923,2014-04-19 19:19,은산면,'179-3 ,충의로 730번길,0,은산면,신대리,충의로730번길 74-14,0,0
'140420084956420,2014-04-20 3:10,부여읍,'272- ,,0,부여읍,가증리,,0,0
'140422014348260,2014-04-21 23:39,홍산면,'237-10 홍산센터 입구 /  ,,0,홍산면,북촌리,태봉산길 15-13,0,0
'140424122901399,2014-04-23 12:07,홍산면,'200- ,,0,홍산면,교원리,,0,0
'140425123637852,2014-04-24 12:34,은산면,'47- ,,0,은산면,합수리,,0,0
'140425134300671,2014-04-24 13:08,규암면,'44-3 동양산업,동양산업,0,규암면,함양리,함양로 69,0,0
'140424211123280,2014-04-24 17:31,남면,'47-1 ,임야,2,남면,송암리,,0,0
'140425193328855,2014-04-25 18:19,규암면,'134-15 반산1구,,0,규암면,반산리,충절로2362번길 11-5,0,0
'140501121231645,2014-05-01 9:03,석성면,'1007- ,굴삭기,0,석성면,석성리,,0,0
'140503072846225,2014-05-03 5:44,세도면,'612- ,비닐하우스(농업용),0,세도면,화수리,,0,0
'140510172717444,2014-05-10 16:03,규암면,'210-2 ,동식물시설 - 축사(우사),0,규암면,금암리,,0,0
'140511134647527,2014-05-11 10:12,초촌면,'528- ,주택,0,초촌면,신암리,신암로123번길 12,0,0
'140512065617028,2014-05-12 4:35,초촌면,'126-1 ,가건물,0.1,초촌면,응평리,초촌로 15,0,0
'140518195628037,2014-05-18 18:50,은산면,'125-6 (영빈관),영빈관(한상오),0,은산면,은산리,충의로 681,0,0
'140519203922333,2014-05-19 18:22,초촌면,'11-10 ,임야,1.5,초촌면,송국리,,0,0
'140523163852046,2014-05-20 15:00,은산면,'119- ,주택,0,은산면,가곡리,매화로7번길 77,0,0
'140520190128970,2014-05-20 17:29,부여읍,'513- 부여폐차장,부여폐차장,0,부여읍,염창리,동문로142번길 2,0,0
'140521150926955,2014-05-21 11:56,구룡면,'470-1 ,기타,0,구룡면,구봉리,,0,0
'140521222229314,2014-05-21 20:17,석성면,'1289-9 ,동식물시설 - 견사,1.1,석성면,증산리,증산로80번길 28,0,0
'140522145638050,2014-05-22 12:13,세도면,'18-1 ,임야,4.7,세도면,화수리,,0,0
'140522200340191,2014-05-22 18:13,홍산면,'359-4 2구 계사 부근 ,정계선주택(폐가),0,홍산면,정동리,,0,0
'140525215610416,2014-05-25 20:29,규암면,'11-5 부여합송육묘장,농업용 비닐하우스(육묘장),0,규암면,합송리,,0,0
'140531011028262,2014-05-31 0:05,부여읍,'364-2 백강빌라 입구,,0,부여읍,구아리,,0,0
'140531172826119,2014-05-31 15:05,세도면,'64-  외 간대리 산6-1,밭(전) 외 1,0,세도면,간대리,,0,0
'140531205502767,2014-05-31 19:17,부여읍,'169-8 한승자원,"한승자원(자원재활용시설, 고물상)",0,부여읍,가증리,삼충로 108,0,0
'140606095323306,2014-06-06 7:25,임천면,'655- ,차량,0,임천면,구교리,성흥로197번길 27-34,0,0
'140606154815251,2014-06-06 14:24,부여읍,'31-1 ,기타 - 야외,0,부여읍,왕포리,왕중로71번길 10,0,0
'140607182029682,2014-06-07 16:24,세도면,'135-6 ,기타,0,세도면,간대리,,0,0
'140610060522736,2014-06-10 2:59,충화면,'270- ,TV드라마 셋트장(서동요테마파크),0,충화면,가화리,충신로 616,0,0
'140610230933382,2014-06-10 21:37,석성면,'407- 정보화마을,이석범버섯재배사(휴),1.6,석성면,현내리,금백로403번길 15-8,0,0
'140611172038664,2014-06-11 14:45,은산면,'377-3 이스코인더스트리,이스코인더스트리,0,은산면,거전리,지천로 845,0,0
'140613152155368,2014-06-13 11:29,옥산면,'101-2 ,주택,0,옥산면,학산리,,0,0
'140614114522944,2014-06-14 8:58,내산면,'371-3 ,김강수(주택),3,내산면,묘원리,면동로 141,0,0
'140614195410292,2014-06-14 15:39,임천면,'7-2 ,영월신씨종중산,0,임천면,발산리,,0,0
'140615225427655,2014-06-15 21:24,부여읍,'449-10 ,기타 - 야외,0,부여읍,왕포리,,0,0
'140621085402935,2014-06-21 6:48,초촌면,'392-46 ,간이비닐하우스,3,초촌면,진호리,,0,0
'140625154833043,2014-06-25 14:13,장암면,'658-2 ,농업용비닐하우스(수박),0,장암면,합곡리,,0,0
'140625203257268,2014-06-25 19:08,세도면,'168- 이원복씨댁,이원복-돈사,2.5,세도면,동사리,,0,0
'140628141226005,2014-06-28 12:26,남면,'914- 지번무시,짚더미,0,남면,회동리,,0,0
'140629141526738,2014-06-29 12:46,부여읍,'278- 1구,임야-지덕현,0,부여읍,용정리,,0,0
'140630131325738,2014-06-30 10:56,구룡면,'417-3 ,비닐하우스,0,구룡면,주정리,,0,0
'140704202052077,2014-07-04 18:25,구룡면,'99- ,단독주택,0,구룡면,용당리,부두로277번길 20-9,0,0
'140706071104076,2014-07-06 5:26,석성면,'367- ,수지산업(김용재),0,석성면,증산리,증산천길 138-11,0,0
'140718200833201,2014-07-08 14:37,은산면,'71- ,부여군-거전리한옥체험관,0,은산면,거전리,지천로525번길 7-14,0,0
'140711160147909,2014-07-11 14:55,규암면,'1178-8 부여군농협쌀조합,부여군농협쌀조합공동사업법인,0,규암면,합송리,흥수로 679,0,0
'140713053650063,2014-07-13 3:41,부여읍,'136-3 궁남지 큰주차장 인근,서동로,0,부여읍,동남리,,0,0
'140723224707457,2014-07-23 20:45,은산면,'12-5 ,자동차,0,은산면,홍산리,,0,0
'140803000829435,2014-08-02 22:12,은산면,'230- 장벌성결교회,종교시설(장벌성결교회),0,은산면,장벌리,은북로572번길 3,0,0
'140803041121143,2014-08-03 0:43,외산면,'117-3 ,동식물시설 - 양계장,4.9,외산면,삼산리,삼산로 14-20,0,0
'140805231152199,2014-08-05 18:49,세도면,'959-1 ,기타-야외,0,세도면,청송리,,0,0
'140808225349664,2014-08-08 20:25,세도면,'718-3 (2구),임희곤-단독주택,1.4,세도면,청포리,부흥로753번길 11-6,0,0
'140812214837625,2014-08-12 19:33,남면,' - 서천공주하행선16.5k 지점,소나타(61두5145),0,남면,대선리,,0,0
'140816212322201,2014-08-16 19:05,은산면,'393-2 중앙약국2층,최선묵 주택,0,은산면,신대리,충의로 668,0,0
'140830125412947,2014-08-30 9:48,부여읍,' - 왕릉교차로,화물차량,0,부여읍,능산리,,0,0
'140903231223828,2014-09-03 19:35,장암면,'546-2 ,단독주택,0,장암면,점상리,덕림로398번길 27-4,0,0
'140905184407256,2014-09-05 16:07,부여읍,'331- ,4층주택,0,부여읍,구아리,사비로99번길 8-2,0,0
'140909152658709,2014-09-09 14:37,부여읍,'303-6 ,최성교-가스용기,0,부여읍,동남리,궁남로29번길 20,0,0
'140911213245223,2014-09-11 20:12,은산면,'111-6 ,근린생활시설 - 상가주택,0,은산면,은산리,충절로 2804,0,0
'140915155343011,2014-09-15 13:01,부여읍,'347-1 347-1,단독주택,0,부여읍,동남리,계백로 338-1,0,0
'140916165425835,2014-09-16 14:45,구룡면,'25- ,버섯재배사,0,구룡면,용당리,부두로277번길 21-26,0,0
'140918053053373,2014-09-18 3:42,석성면,'582- ,이영필버섯재배사(양송이),0,석성면,증산리,,0,0
'140920151836165,2014-09-20 12:23,장암면,'46- ,임야,0,장암면,지토리,,0,0
'140925033608189,2014-09-25 1:50,부여읍,'579- ,자동차,0,부여읍,가증리,,0,0
'140926174434020,2014-09-26 16:23,규암면,'382-6 ,야외(폐농자재),0,규암면,오수리,,0,0
'141009111944620,2014-10-09 8:48,세도면,'147-2 ,농자재보관용 비닐하우스,0,세도면,가회리,,0,0
'141009150924967,2014-10-09 14:01,규암면,'12-13 규암교차로,기타 - 야외,0,규암면,내리,,0,0
'141010122605163,2014-10-10 10:33,남면,'316-4 ,농업용 창고,0,남면,송학리,송수로 155-11,0,0
'141010183336535,2014-10-10 14:01,외산면,'65- 고갈,단독주택,0,외산면,갈산리,갈산로 134,0,0
'141011135816977,2014-10-11 12:29,규암면,'142-5 외 2필지,농업용창고,0,규암면,반산리,,0,0
'141012112711856,2014-10-12 8:28,은산면,'449- 외 8필지,삼화농장,0,은산면,나령리,,0,0
'141018200123608,2014-10-18 16:10,임천면,'62-3 ,손상순-단독주택,0,임천면,군사리,성흥로 115,0,0
'141023234111867,2014-10-23 22:47,부여읍,'655-3 ,기타 야외,0,부여읍,동남리,궁남로 6,0,0
'141029122754711,2014-10-29 9:15,부여읍,'5- ,단독주택,0,부여읍,동남리,의열로29번길 19-8,0,0
'141106203741172,2014-11-06 19:00,석성면,'88- ,박달순-단독주택,0,석성면,정각리,왕릉로 461-24,0,0
'141110231001943,2014-11-10 21:34,부여읍,'403- ,주택,0,부여읍,자왕리,삼충로334번길 12-6,0,0
'141115095650533,2014-11-15 7:40,부여읍,'98- ,콘테이너창고,0,부여읍,용정리,독정로 132-21,0,0
'141115152542450,2014-11-15 12:13,외산면,'39-1 ,승용차,7,외산면,수신리,,0,0
'141118074137852,2014-11-18 6:43,부여읍,'595-1 부여경찰서앞//규암방향,조창연 화물차,0,부여읍,동남리,,0,0
'141118163723687,2014-11-18 14:22,장암면,'686- 장암주유소,,0,장암면,석동리,,0,0
'141122105733405,2014-11-22 9:40,홍산면,'105- 일반주택,주택,0,홍산면,조현리,송학로식송길 18,0,0
'141128144530067,2014-11-28 11:32,임천면,'191- ,공가,0,임천면,만사리,충절로1001번길 24,0,0
'141203035411343,2014-12-03 1:41,장암면,'663-2 하우스화재,비닐하우스,0,장암면,합곡리,,0,0
'141204031823536,2014-12-04 0:12,규암면,' - 서천공주간 고속도로 서천방향 29.5km,차량,0,규암면,수목리,,0,0
'141204034757573,2014-12-04 1:28,부여읍,'292-47 김수종 댁,주택,0,부여읍,동남리,금성로14번길 29-1,0,0
'141205165856567,2014-12-05 14:44,초촌면,'522- 이정희 댁,이정희단독주택,3.4,초촌면,소사리,소호로 85-18,0,0
'141209014913019,2014-12-09 0:31,장암면,'200- ,심정택-단독주택,0,장암면,정암리,와요로19번길 24,0,0
'141212151944660,2014-12-12 12:11,충화면,'465- ,단독주택,0,충화면,가화리,충신로569번길 8-4,0,0
'141213182650715,2014-12-13 15:59,내산면,'227-9 비닐하우스,비닐하우스,2,내산면,묘원리,,0,0
'141217190602324,2014-12-17 15:25,세도면,'12-11 외4필지,비닐하우스 및 탱크로리,0,세도면,청포리,,0,0
'141223235005061,2014-12-23 20:18,외산면,'175- ,단독주택,2,외산면,장항리,만수로399번길 23-10,0,0
'141225095115207,2014-12-25 8:59,부여읍,'59- 백마강재활용수집장,백마강재활용수집장(김종원),0,부여읍,동남리,서동로 120-5,0,0
'141226032300347,2014-12-25 23:59,규암면,'501-1 ,공가,0,규암면,나복리,호반로164번길 49,0,0
'141226093145028,2014-12-26 6:51,홍산면,'345-1 간이축사,간이축사,0,홍산면,조현리,조현로43번길 85-15,0,0
'141227093533941,2014-12-27 6:45,세도면,'1143-4 ,,4.3,세도면,수고리,,0,0
'150103081712367,2015-01-03 5:59,세도면,'53-2 ,임세영 비닐하우스,4.8,세도면,가회리,,0,0
'150104180926690,2015-01-04 16:17,부여읍,'372- ,동산자원(장규현),0,부여읍,구교리,,0,0
'150109005636764,2015-01-08 22:03,외산면,'374-2 ,안용주양계장,10.6,외산면,수신리,,0,0
'150109102232002,2015-01-09 6:23,은산면,'102- 앞집,오달만-주택,0,은산면,가곡리,매화로7번길 67-3,0,0
'150110111824619,2015-01-10 6:30,부여읍,'313-2 ,김윤호비닐하우스,0,부여읍,저석리,,0,0
'150112132107457,2015-01-12 11:01,부여읍,'513- ,부여폐차장,0,부여읍,염창리,동문로142번길 2,0,0
'150117212206079,2015-01-17 20:27,규암면,'476-3 ,단독주택,0,규암면,오수리,백제문로339번길 24,0,0
'150118015635480,2015-01-17 23:35,부여읍,'328-1 ,단독주택,0,부여읍,가증리,가증로 76,0,0
'150118153646210,2015-01-18 13:24,내산면,'28-1 ,비닐하우스,3.3,내산면,주암리,,0,0
'150127083650951,2015-01-27 7:22,규암면,'320-12 ,농기계 수리점,0,규암면,외리,,0,0
'150127142504629,2015-01-27 10:51,구룡면,'168- ,주택(창고),2.3,구룡면,금사리,금사북로 49,0,0
'150130174946796,2015-01-30 16:07,부여읍,'56-5 외 1필지,임야,0,부여읍,중정리,,0,0
'150202020947894,2015-02-02 0:36,장암면,'364- ,단독주택,0,장암면,북고리,의자로851번길 97,0,0
'150202070813129,2015-02-02 5:00,세도면,'513-4 ,비닐하우스,3.8,세도면,가회리,,0,0
'150202142220539,2015-02-02 11:59,임천면,'161- ,김옥진씨 헛간,0,임천면,옥곡리,옥곡로20번길 29,0,0
'150202155532934,2015-02-02 14:39,임천면,'195-1 ,단양오씨 묘지,0,임천면,구교리,성흥로 265-12,0,0
'150204154130909,2015-02-04 14:08,초촌면,'57- ,장기주씨 농업용 계량기,2.5,초촌면,신암리,신암로 300,0,0
'150207014807774,2015-02-06 21:46,구룡면,'148-2 ,주택,0,구룡면,동방리,동방로144번길 29-3,0,0
'150208134423389,2015-02-08 11:35,임천면,'6-6 ,주택,0,임천면,군사리,성흥로97번길 45,0,0
'150209112711012,2015-02-09 9:36,임천면,'93-13 ,비닐하우스,0,임천면,칠산리,,0,0
'150209172024765,2015-02-09 14:05,초촌면,'456- ,하천,2.5,초촌면,초평리,,0,0
'150209172955434,2015-02-09 14:11,홍산면,' - 산 39번지,밤나무밭,0,홍산면,상천리,,0,0
'150209224319344,2015-02-09 21:03,장암면,'26-4 ,강복구 컨테이너,0,장암면,장하리,,0,0
'150211141046535,2015-02-11 10:55,장암면,'228- ,단독주택,0,장암면,지토리,사동로태동1길 31,0,0
'150214181517110,2015-02-14 16:14,부여읍,'117- ,기타(고목),0,부여읍,동남리,,0,0
'150215221559303,2015-02-15 20:04,부여읍,'290-1 함원자 댁,함원자단독주택,0,부여읍,송간리,삼충로272번길 96-8,0,0
'150217222545459,2015-02-17 21:27,부여읍,'310-11 ,조영철 주택,0,부여읍,동남리,서동로 107,0,0
'150218020546640,2015-02-18 1:04,장암면,'152- ,이창규 주택 창고,0,장암면,석동리,석동로 78-9,0,0
'150219205104271,2015-02-19 18:37,은산면,'347-1 정확지번,이기범 단독주택,0,은산면,홍산리,충절로 3002,0,0
'150225190514830,2015-02-25 17:11,부여읍,'28-1 ,전봉진 주택,0,부여읍,가증리,삼충로120번길 7-7,0,0
'150226203610804,2015-02-26 19:05,구룡면,' - 산8-1,기타야외,2.6,구룡면,죽교리,,0,0
'150227183818835,2015-02-27 15:38,은산면,'289-2 (산천가든),음식점,0,은산면,홍산리,,0,0
'150228002123353,2015-02-27 20:54,외산면,'214- ,기타-야외,2,외산면,장항리,만수로441번길 32-1,0,0
'150228004811446,2015-02-27 21:40,구룡면,'157- ,주택,0,구룡면,현암리,망해로155번길 33-22,0,0
'150302172823826,2015-03-02 15:14,세도면,'77-2 ,밭,3,세도면,청송리,,0,0
'150303145653561,2015-03-03 12:43,홍산면,' - 산 93-10,임야,0,홍산면,정동리,,0,0
'150303172527885,2015-03-03 15:40,초촌면,'457-4 ,하천,5,초촌면,송정리,,0,0
'150305230240454,2015-03-05 18:04,부여읍,'500-5 ,임야,0,부여읍,정동리,,0,0
'150305235726028,2015-03-05 20:00,은산면,'39-2 ,주택,0,은산면,가중리,라복로 257-6,0,0
'150307151822154,2015-03-07 13:30,세도면,'14- ,임야,0,세도면,장산리,,0,0
'150307181817573,2015-03-07 15:38,석성면,'748-21 ,주택,0,석성면,석성리,석성로 129,0,0
'150307232602192,2015-03-07 20:02,구룡면,'325-1 ,짚롤,0,구룡면,용당리,,0,0
'150308161751902,2015-03-08 10:24,초촌면,'70-1 초촌초등학교 뒷산,임야(초촌초등학교),1,초촌면,응평리,초촌로31번길 56,0,0
'150308162748772,2015-03-08 10:52,부여읍,'46- ,임야(임성자),0,부여읍,정동리,,0,0
'150308165252707,2015-03-08 12:01,양화면,'2- ,임야(함영만),0,양화면,벽용리,,0,0
'150308223759495,2015-03-08 20:51,임천면,'314-11 ,임야(임인택),0,임천면,군사리,,0,0
'150309180629616,2015-03-09 12:22,은산면,'28-1 외3필지,임야,0,은산면,가곡리,,0,0
'150309190545633,2015-03-09 14:37,임천면,'198-5 ,버섯재배사,0,임천면,두곡리,,0,0
'150311002032807,2015-03-10 23:12,부여읍,'138-2 ,오기애(단독주택),0,부여읍,쌍북리,성왕로 344-16,0,0
'150312082902452,2015-03-11 14:27,은산면,'60- 외 5필지,임야,0,은산면,거전리,,0,0
'150312200810909,2015-03-11 15:44,초촌면,'196-2 ,임야,0.5,초촌면,응평리,,0,0
'150312202646309,2015-03-12 14:54,초촌면,'40-1 ,임야,3,초촌면,세탑리,,0,0
'150313172850344,2015-03-13 14:26,양화면,'626-1 외1필지,기타,5,양화면,시음리,,0,0
'150314135833402,2015-03-14 10:23,홍산면,'210-3 ,임용호단독주택,0,홍산면,북촌리,홍산시장로 73,0,0
'150314135212587,2015-03-14 12:17,장암면,'390-6 비닐하우스,비닐하우스,0,장암면,석동리,,0,0
'150314185246841,2015-03-14 14:48,부여읍,'33- ,임야(경주김씨 종중산),0,부여읍,현북리,,0,0
'150315210148814,2015-03-15 11:56,충화면,'562-3 ,임야,0,충화면,지석리,,0,0
'150315200232848,2015-03-15 14:22,외산면,'236- ,단독주택,5,외산면,삼산리,삼산로 84-4,0,0
'150316171238070,2015-03-16 10:10,세도면,'607-11 임천센터 자체접수,김동규-짚가리,4.7,세도면,반조원리,,0,0
'150316171810659,2015-03-16 12:35,규암면,'447-1 ,농장헛간,0,규암면,나복리,,0,0
'150316173456678,2015-03-16 15:18,구룡면,'294-3 ,광산김씨 종중묘지,0,구룡면,동방리,동방로112번길 39-13,0,0
'150317015830685,2015-03-16 21:56,규암면,'614- ,임야,0,규암면,합정리,,0,0
'150318044636349,2015-03-18 3:01,석성면,'816- ,버섯재배사,0,석성면,비당리,,0,0
'150320175011309,2015-03-20 16:26,외산면,'409-2 ,조중문주택,3,외산면,반교리,반교서로 60-30,0,0
'150321154649065,2015-03-21 14:32,규암면,'528-4 ,기타-하천,0,규암면,신성리,,0,0
'150322154751002,2015-03-22 14:02,옥산면,'10-1 ,임야,0,옥산면,신안리,,0,0
'150323112520096,2015-03-23 10:25,구룡면,'250-1 ,기타-하천제방,3.5,구룡면,용당리,,0,0
'150324125842454,2015-03-24 10:37,석성면,'104-2 ,기타,5,석성면,봉정리,,0,0
'150324225019959,2015-03-24 20:50,은산면,'67-2 ,기타(야외물탱크),0,은산면,금공리,,0,0
'150325095223182,2015-03-25 4:50,남면,'793- ,주택,5,남면,마정리,남성로721번길 7-7,0,0
'150326135430986,2015-03-26 12:09,내산면,'19-50 ,단독주택,4.5,내산면,온해리,온해로 94-6,0,0
'150328123718265,2015-03-28 10:21,임천면,'414-2 ,축사,0,임천면,군사리,,0,0
'150329002648053,2015-03-28 21:09,임천면,'77-1 외 1필지,임야,0,임천면,두곡리,,0,0
'150329171023753,2015-03-29 15:32,규암면,'1010-8 ,단독주택,0,규암면,합송리,흥수로 605-3,0,0
'150329170601112,2015-03-29 15:59,장암면,'512-4 ,백성열-짚가리,0,장암면,원문리,,0,0
'150329193319933,2015-03-29 17:20,초촌면,'228- ,노순자 밭,2,초촌면,초평리,,0,0
'150330204258936,2015-03-30 16:33,외산면,'20-4 ,폐비닐하우스,2,외산면,만수리,,0,0
'150330211244777,2015-03-30 16:39,내산면,'4-1 산 중턱에 불,임야,0,내산면,금지리,,0,0
'150403033036474,2015-04-03 2:00,옥산면,'207- 지번무시 / 노인회관 인근,이수태-우사,0,옥산면,상기리,옥산북로 455,0,0
'150409012602336,2015-04-08 22:37,규암면,'288-1 ,부흥영농조합(버섯재배사),0,규암면,외리,,0,0
'150411093621814,2015-04-11 8:11,은산면,'401-2 ,주택(개장),0,은산면,신대리,충절로 2771-10,0,0
'150413024706910,2015-04-13 1:07,규암면,'428-32 ,야외(볏짚),0,규암면,노화리,,0,0
'150418192414136,2015-04-18 15:06,부여읍,'292-58 ,주택외 2개소,0,부여읍,동남리,금성로14번길 16,0,0
'150419170411388,2015-04-19 15:46,규암면,'962-10 은성반점 내,은성반점,0,규암면,합송리,흥수로 602,0,0
'150428121859970,2015-04-28 10:00,부여읍,'402-1 ,주택,0,부여읍,염창리,,0,0
'150501000452785,2015-04-30 20:41,세도면,'218-2 ,컨테이너,4.8,세도면,가회리,,0,0
'150501153522673,2015-05-01 11:42,내산면,'134- 서천방향,승용차,0,내산면,율암리,서천공주고속도로 25,0,0
'150502122413374,2015-05-02 10:50,초촌면,'2-28 ,기타-야적장,2,초촌면,신암리,,0,0
'150504221149289,2015-05-04 19:15,세도면,'464-6 세도복지회관,세도복지회관,0.5,세도면,간대리,성흥로664번길 4,0,0
'150505095132539,2015-05-05 8:49,부여읍,'205-3 ,코원전기,0,부여읍,가증리,가증남로 101,0,0
'150509001847809,2015-05-08 23:05,장암면,'273-2 ,단독주택,0,장암면,석동리,의자로돌모루1길 16-27,0,0
'150509125419362,2015-05-09 9:20,장암면,'310- ,주택(헛간),0,장암면,정암리,의자로1235번길 216,0,0
'150519212249680,2015-05-19 19:22,내산면,'592- 주택 옆 축사,박은규-우사,5,내산면,온해리,온해로69번길 31-4,0,0
'150524044545476,2015-05-24 2:09,옥산면,'38- ,김현중-간이농막,0,옥산면,대덕리,,0,0
'150524045552371,2015-05-24 3:22,규암면,'92-3 ,최항림 비닐하우스,0,규암면,외리,,0,0
'150524151205292,2015-05-24 13:09,구룡면,'490-3 ,기타야외,0,구룡면,동방리,,0,0
'150527213801174,2015-05-27 19:27,남면,'328-24 ,기타건축물,0,남면,삼용리,,0,0
'150530042234630,2015-05-30 2:42,규암면,'160-1 ,기타,0,규암면,외리,수북로3번길 20,0,0
'150604152536058,2015-06-04 13:06,규암면,'26-86 ,기타,0,규암면,외리,딴펄로24번길 48-6,0,0
'150607085754650,2015-06-07 7:03,장암면,'333-18 외 2필지,임야,0,장암면,정암리,,0,0
'150607132504381,2015-06-07 10:33,부여읍,'152-2 ,기타,0,부여읍,가증리,삼충로 106-37,0,0
'150608131412187,2015-06-08 11:30,석성면,' - 부여 - 논산방향 4차선 도로상,자동차,3.7,석성면,비당리,,0,0
'150610101714876,2015-06-10 5:53,남면,'1023-1 ,기타,0,남면,송암리,,0,0
'150617055347887,2015-06-16 19:10,충화면,'8-1 ,임야,0,충화면,팔충리,,0,0
'150617192444093,2015-06-17 18:11,은산면,'3-1 ,간이하우스(창고용),0,은산면,은산리,충의로660번길 23-10,0,0
'150618111856675,2015-06-18 9:51,초촌면,'274-2 ,동식물시설-비닐하우스,1,초촌면,송국리,,0,0
'150618220251815,2015-06-18 18:31,규암면,'154-2 ,저온저장고,0,규암면,반산리,흥수로853번길 37-18,0,0
'150621144527654,2015-06-21 12:32,홍산면,'120-21 ,주택,0,홍산면,정동리,홍산정동로38번길 6-3,0,0
'150621222911071,2015-06-21 20:14,석성면,'381-1 ,짚가리,2.1,석성면,현내리,,0,0
'150630165346850,2015-06-30 14:23,은산면,'23-1 ,유재도-양계장,0,은산면,신대리,,0,0
'150703082029202,2015-07-03 7:11,부여읍,'113- 쌍북아파트 205동 104호,쌍북아파트,0,부여읍,,성왕로328번길 15,0,0
'150704153940276,2015-07-04 15:03,규암면,'508-3 ,제방,0,규암면,신리,,0,0
'150704193739264,2015-07-04 18:37,홍산면,'85-1 ,임야,0,홍산면,정동리,,0,0
'150706061221373,2015-07-06 4:36,홍산면,'236-1 ,주택,0,홍산면,남촌리,용문길 28,0,0
'150706112910099,2015-07-06 10:35,부여읍,'365-2 ,밭,0,부여읍,정동리,,0,0
'150708023916716,2015-07-08 0:51,홍산면,'164-1 서부여ic출구방향,화물자동차,0,홍산면,조현리,,0,0
'150710064530896,2015-07-10 3:24,양화면,'462-1 외1필지,성산농장,0,양화면,족교리,충절로239번길 128,0,0
'150715171709003,2015-07-15 15:09,부여읍,'81-3 ,기타,0,부여읍,구아리,나성로 110-1,0,0
'150718202941195,2015-07-18 19:02,부여읍,'59-4 ,양대박식당,0,부여읍,구아리,나루터로 4,0,0
'150719214914570,2015-07-19 19:50,양화면,'172- ,단독주택,0,양화면,내성리,내성로15번길 14,0,0
'150720102741972,2015-07-20 9:29,부여읍,'91-1 용정삼거리 부근,쓰레기,0,부여읍,석목리,석목로3번길 22-1,0,0
'150721172154770,2015-07-21 13:24,구룡면,'523- 동방교회 앞 원희,공장(원일),0,구룡면,동방리,동방로112번길 31,0,0
'150721171628735,2015-07-21 14:07,초촌면,'148- ,지재민-화물자동차,0,초촌면,초평리,초평로216번길 8-42,0,0
'150731043638503,2015-07-31 2:07,옥산면,'288- ,기타,0,옥산면,안서리,,0,0
'150801041016317,2015-08-01 3:01,홍산면,'177- 임애순 댁,주택,0,홍산면,남촌리,홍산시장로 56,0,0
'150809190315187,2015-08-09 17:46,석성면,'806-3 ,단독주택,0,석성면,봉정리,석성로 273,0,0
'150817011616338,2015-08-16 20:13,장암면,'33- ,주택,0,장암면,원문리,장암로 200,0,0
'150822063121289,2015-08-22 4:30,임천면,'210-7 ,주택(야외LPG용기),0,임천면,칠산리,부흥로 238,0,0
'150831171543902,2015-08-31 15:02,규암면,'374- ,김소주 주택,0,규암면,신리,왕흥로235번길 15,0,0
'150904023804998,2015-09-04 0:51,규암면,'112-23 진변리 정미소,정미소,0,규암면,진변리,백제문로 133-9,0,0
'150914004246916,2015-09-13 21:27,세도면,' - 제방,주한웅-승용차,0,세도면,가회리,,0,0
'150915142617727,2015-09-15 11:27,세도면,'366- ,주택,0,세도면,가회리,가회로169번길 33-17,0,0
'150915222923581,2015-09-15 21:26,부여읍,'177-1 정확지번,주택(보일러실),0,부여읍,중정리,왕중로 164,0,0
'150916154414356,2015-09-16 12:29,석성면,'67- 외1필지,임야,4,석성면,비당리,,0,0
'150917172159447,2015-09-17 14:28,양화면,'80-1 ,임야,6,양화면,벽용리,,0,0
'150919120214459,2015-09-19 10:48,규암면,'45- ,임야,0,규암면,나복리,,0,0
'150919181812986,2015-09-19 16:56,은산면,'3-2 은산공동묘지 ,묘지,0,은산면,은산리,,0,0
'150920131440710,2015-09-20 12:25,부여읍,'281-3 ,기타,0,부여읍,자왕리,,0,0
'150920160713353,2015-09-20 15:11,부여읍,'241-6 ,기타,0,부여읍,저석리,,0,0
'150921134700883,2015-09-21 11:56,장암면,'277-1 ,임야,0,장암면,원문리,,0,0
'150921173506428,2015-09-21 16:32,부여읍,'285- 하수종말처리장 인근 부여대교 강가,그린조경-트렉터,0,부여읍,왕포리,,0,0
'150922011524343,2015-09-21 21:22,임천면,'535-3 ,주택,0,임천면,구교리,성흥로 236-38,0,0
'150922112557918,2015-09-22 10:27,부여읍,'254- ,야외(언덕),0,부여읍,쌍북리,,0,0
'150922135316003,2015-09-22 12:02,장암면,'29-1 외 2필지,임야(묘지),0,장암면,장하리,,0,0
